address,reward(wei),reward(ether)
0x114D0E95B1d6f4982DbaeA25cd0992eeeb1DEc19,168896939983222836130,168.89
0xb26Da6f9B553a23132cbcdeb8970b91aA368667B,160586551130369239521,160.58
0x3496C181777458F350a560cC795b419Ba61dd543,160334957455734539145,160.33
0x53b517968dbD242De0348A2f0d70D55C1BF7BcD3,159547200487360019836,159.54
0x51f0d503371B6c893803f1d42e9058AF8b66CD5e,158865811107942627933,158.86
0xD6AB3210442765D0BD806Db6643Da28d307eb422,158716195372442746830,158.71
0x5f681ad96cE4AD8b3D7D745ba1E34109Afebdab8,157160648887962886859,157.16
0x674951f43193cB538BB0c2c5f6fd34045A004De4,155248798806585553138,155.24
0xCe3F17FF0f62bc9b2e27c64ed9b6838828aC73ba,153314052514531048102,153.31
0x126ED947de7b84ab29526D35CEF99C9b72B285A5,152248813177964107246,152.24
0x48756264bb3b9D793691F8a8C0e3696D6b980f65,149871312923864823768,149.87
0x188C30E9A6527F5F0c3f7fe59B72ac7253C62F28,147198179885174022711,147.19
0xDEb0804D5e54D49c1923Da459730E66b60EeaD6B,143848606761988296214,143.84
0xcd8973714c2B67F67145e3556436Ef6b2C49A33F,142685531667051860453,142.68
0x8C779811306cee2faFc908C557cCB4be9FF20A01,140704906568897370511,140.70
0xA4908461A9D5b19cFE9Eb1A635A588a7cD19ec33,140278168566357618555,140.27
0x5668EAd1eDB8E2a4d724C8fb9cB5fFEabEB422dc,139936976661863536924,139.93
0xE8Cb72F94b2E36398e0De91182A96F8c8d6DE794,138829201636537347385,138.82
0x0EAdb62d5Caf12794866c33Ea934e5cc59C2E9cD,137074830382086608068,137.07
0xbaA84e6A9E66fA0846931c6bf79e8c2763b50b9d,135576375721712231910,135.57
0xe4E146B145cfC048BAd53ef0e7dFfe2D6e6bbc0c,135327349547964637564,135.32
0xf8a57bb83967D21Fd19cAbA32716dC7d855A0A7d,135226553146485616459,135.22
0x29CE108bE4783D371Cf0AB3Be517232Dd9B443D9,134080174751568071325,134.08
0x71FA12A406Eed4EA512A8F13dcF97273D84E773d,132133828508154508450,132.13
0x99D1de1982C5C9834d7eFa5726460C8A092A88Cc,130399910984244747582,130.39
0x6dCc125fd1dDB4B78a11878830bD9483912d8Cf3,129616730427657695376,129.61
0x7Ce96c4A1b5A4b33dBFAc7Ee8732fFaF2cdc8691,129319591388424762621,129.31
0xf748879EdBe8CcA140940788163d7bE4d2A2E46A,128888498513704579640,128.88
0x9021EefE531da1049EBC6860579d945D5005BF3a,127989669739945075639,127.98
0xB7017838BC236E10d4e821ae6e2148ED52b231E3,127929507079322286031,127.92
0xEfA5157D66ebB5a3Fdb9da21537E01a68C9c424F,127768899619832947832,127.76
0x079d3a75990cD395b4bbdb6dFd432aF0C895f38e,126935422241284916627,126.93
0x448345dBb16e9fE263dA6Aade0D7F49957000000,124930954881222860789,124.93
0xE5F22a75d092c6BdC15d6480d2CF68Ae192e1420,124514693412330404802,124.51
0x581B2796Bc190E5a9813CaDD02e5e732C074Cfc1,122587559929354543114,122.58
0x63de5991fE04A693254C578188e9f405370C69d9,122067792374088870590,122.06
0x2dEd52381696cB00D5f3aa3e82CE7da1B99567E4,121533791231707701995,121.53
0x20C7135F739694F9DFdA42c1E4b4E51Ef5F41E34,119420238033118052430,119.42
0x8a2Ff4f48a2Aef354D96339946B03fD740293BcE,116978257836557964003,116.97
0x828A30F9bfFf6726765b5C7eAc213B5Ad22fbFb8,116663051105522519082,116.66
0xedd983Cd14544a2EE67ccAEa588B7388D08C73CE,113423022553194424262,113.42
0x4eD0864be1c171D95c7b66b3d507359f86122f35,110298140212606770282,110.29
0x4918B21b49Ecc9620e5BD83f2DBA0dA4EFc525F6,110002662589170704441,110.00
0x892ccab64c876d15b68E908c0Fbc3C68761BFC9D,109600218497013177583,109.60
0x24d734a75166e66000C8d7f12A173e41358e3cc1,108813798449431811093,108.81
0x29b20c2EbA813F316485f834868f5FA707DD89c0,105803722979714433287,105.80
0x699A9073660a90116590963290c98958e5d65ecF,105358891049185405019,105.35
0x719cA4b5e57439710Ce47F457A82E49e326E379D,104758270075198708159,104.75
0xc7B0c16873a8939A37876835c194db6C5Fc884af,104509280932249205462,104.50
0x8540F80Fab2AFCAe8d8FD6b1557B1Cf943A0999b,101767520283765414193,101.76
0x3E82475214E1Bf68f8F8d8fFf20CBc75b95CBfC1,100568962221658732659,100.56
0xE23935C66E2630dc85EeBc30AF0991C4C38822ff,99513362765956667273,99.51
0xcB4790CB7778F2369339Cda93398a4aA010c6Bbc,99390338440276083042,99.39
0xd6c18bcc5a34715598eF1E1778E2Ccce0321d9EF,99194393006330771951,99.19
0x7aAF25551b968c8329b974A995b8900d62ab6cfE,99075238817422757472,99.07
0x7a37EaDaF5Db28E2079f984e923aE14d485b9617,98754534671548953058,98.75
0xD0E58BCE8dA637ee901e8D76EBf2A961F1B609a6,97898746779777997111,97.89
0x315f6BFC1Fe7658362889526f528F8496d8c5619,97535945708292275066,97.53
0x982Ab8bb18ed62f09D581fc0dE939Cd21D6967F8,96769355710472493716,96.76
0xf4D7901DA236DF1e04c0862E2F8640ebf5D301da,96590567906006088323,96.59
0x47C2511FAE3a1396Fc2658CF1D0FcCd03BfEae51,95982160095710174166,95.98
0x9159D3d0b3B47A1c211525d4B415Fa00C4Fdee43,95700104173294584768,95.70
0x1948B238e51b534C13d37958A389A7Bb34F82D61,93989260337828849903,93.98
0x546c35A376735DAd1ADA63b63550F4528853D322,91960535148580964295,91.96
0x88282928EC944c34aEA58d15a97981Cb91959191,91447620240008338167,91.44
0x548f227E4A316E3b2d2E7b6A9C6c69a60aa34Ffb,89851207585173064640,89.85
0x25B28EE7f335F0396f41f129039F1583345B21b8,89498364528183305592,89.49
0x4D4a7486B4556F54E88a79351f73D301D4Cea56a,89483313537505877162,89.48
0x44027E52369FEEac4CEf0A0a59F8C1e971666DdB,85744231216216531508,85.74
0x9f643a408f3a287cA0D019176C288e2C5a8dA7c4,85262030760433541040,85.26
0x364fe210EBda483Ad28BaC082c1e52d3a3e1bb15,83564090091986846229,83.56
0x5A28a292e92Fe0c8Ce2fC2f349A5db2322586E2a,83309778605292638652,83.30
0xD85E821B874cfF4880031b96601Dc73Bfe92f48C,80511906099354660444,80.51
0xfED8EaC5c0A82c3291977FB3BCf1Ad52e57b1b9b,79692360451655275561,79.69
0x68a3896F0600b22401CE16C8a42621e3abE2Aa56,79591336024027711613,79.59
0xe49cA47fe145b7E573Bc44F96A7B98B5BeA0FBB7,79322916620065077333,79.32
0x9f0574a5F28779A1A682cFE4bbD090ee058d07AA,79280236164737104768,79.28
0x67f75798f54A52f4985175667d8889F38cE3c1bE,79150591513373168182,79.15
0x38d9083efc597E1Bdf240B40247c4Ecc2F26E8e3,76457402802806652925,76.45
0xaf4b6499dcf242FB1C7305634553615e97a0D170,76400559272252648597,76.40
0xc5e1a8e2F3A982ddE1084Dcfdc6935717E096867,76218688154601546224,76.21
